Fotograma,tipo_objeto,confianza,ID,x1,y1,x2,y2,Matricula,Confianza,mx1,my1,mx2,my2,texto_matricula
2203,car,0.61,2,1343,322,1381,352,Si,0,0,0,0,0,???
2204,car,0.86,1,1382,316,1508,403,Si,0,0,0,0,0,???
2204,car,0.62,2,1343,322,1382,352,Si,0,0,0,0,0,???
2205,car,0.8,1,1381,317,1507,400,Si,0,0,0,0,0,???
2205,car,0.63,2,1152,315,1202,352,Si,0,0,0,0,0,???
2206,car,0.82,1,1380,317,1506,400,Si,0,0,0,0,0,???
2206,car,0.67,2,1149,314,1200,353,Si,0,0,0,0,0,???
2206,car,0.25,3,1343,322,1382,351,Si,0.25,0,0,0,0,???
2207,car,0.11,1,1377,317,1502,400,Si,0.11,0,0,0,0,???
2207,car,0.67,2,1149,317,1200,354,Si,0,0,0,0,0,???
2208,car,0.79,1,1376,316,1501,401,Si,0,0,0,0,0,???
2208,car,0.68,2,1148,317,1201,353,Si,0,0,0,0,0,???
2209,car,0.79,1,1373,316,1499,401,Si,0,0,0,0,0,???
2209,car,0.7,2,1146,319,1201,354,Si,0,0,0,0,0,???
2210,car,0.78,1,1371,316,1494,399,Si,0,0,0,0,0,???
2210,car,0.68,2,1145,319,1201,354,Si,0,0,0,0,0,???
2211,car,0.81,1,1367,315,1496,397,Si,0,0,0,0,0,???
2211,car,0.67,2,1145,320,1200,354,Si,0,0,0,0,0,???
2212,car,0.73,1,1372,316,1485,397,Si,0,0,0,0,0,???
2212,car,0.67,2,1145,324,1198,356,Si,0,0,0,0,0,???
2213,car,0.66,1,1144,320,1199,353,Si,0,0,0,0,0,???
2213,car,0.63,2,1371,316,1484,395,Si,0,0,0,0,0,???
2214,car,0.67,1,1143,322,1197,355,Si,0,0,0,0,0,???
2214,car,0.22,2,1369,316,1480,395,Si,0.22,0,0,0,0,???
2214,car,0.64,3,1342,322,1376,350,Si,0,0,0,0,0,???
2215,car,0.69,1,1143,323,1197,355,Si,0,0,0,0,0,???
2215,car,0.69,2,1370,316,1477,395,Si,0,0,0,0,0,???
2216,car,0.74,1,1364,315,1475,394,Si,0,0,0,0,0,???
2216,car,0.71,2,1143,320,1198,355,Si,0,0,0,0,0,???
2217,car,0.71,1,1143,318,1197,354,Si,0,0,0,0,0,???
2217,car,0.7,2,1363,315,1468,393,Si,0,0,0,0,0,???
2218,car,0.73,1,1360,315,1464,390,Si,0,0,0,0,0,???
2218,car,0.71,2,1143,319,1196,354,Si,0,0,0,0,0,???
2219,car,0.76,1,1361,316,1462,388,Si,0,0,0,0,0,???
2219,car,0.71,2,1143,321,1195,354,Si,0,0,0,0,0,???
2220,car,0.68,1,1356,316,1461,387,Si,0,0,0,0,0,???
2220,car,0.67,2,1143,322,1196,354,Si,0,0,0,0,0,???
2221,car,0.7,1,1143,320,1197,354,Si,0,0,0,0,0,???
2222,car,0.73,1,1142,319,1197,355,Si,0,0,0,0,0,???
2222,car,0.65,2,1352,315,1453,386,Si,0,0,0,0,0,???
2223,car,0.72,1,1141,319,1198,355,Si,0,0,0,0,0,???
2223,car,0.67,2,1348,314,1450,386,Si,0,0,0,0,0,???
2223,car,0.63,3,1441,321,1512,382,Si,0,0,0,0,0,???
2224,car,0.73,1,1140,320,1198,356,Si,0,0,0,0,0,???
2224,car,0.7,2,1346,314,1449,385,Si,0,0,0,0,0,???
2224,car,0.66,3,1442,320,1512,381,Si,0,0,0,0,0,???
2225,car,0.73,1,1139,319,1198,356,Si,0,0,0,0,0,???
2225,car,0.65,2,1441,320,1512,381,Si,0,0,0,0,0,???
2225,car,0.64,3,1347,316,1448,384,Si,0,0,0,0,0,???
2226,car,0.74,1,1140,319,1198,357,Si,0,0,0,0,0,???
2226,car,0.63,2,1438,321,1513,381,Si,0,0,0,0,0,???
2226,car,0.62,3,1348,316,1446,386,Si,0,0,0,0,0,???
2227,car,0.7,1,1139,319,1197,357,Si,0,0,0,0,0,???
2227,car,0.64,2,1348,318,1445,386,Si,0,0,0,0,0,???
2227,car,0.63,3,1436,321,1512,381,Si,0,0,0,0,0,???
2228,car,0.7,1,1140,318,1197,358,Si,0,0,0,0,0,???
2228,car,0.68,2,1346,315,1442,385,Si,0,0,0,0,0,???
2228,car,0.66,3,1437,321,1513,381,Si,0,0,0,0,0,???
2229,car,0.68,1,1139,318,1197,357,Si,0,0,0,0,0,???
2229,car,0.67,2,1436,321,1512,381,Si,0,0,0,0,0,???
2229,car,0.64,3,1351,318,1444,383,Si,0,0,0,0,0,???
2230,car,0.69,1,1139,318,1197,357,Si,0,0,0,0,0,???
2230,car,0.69,2,1434,320,1513,381,Si,0,0,0,0,0,???
2230,car,0.68,3,1345,317,1442,383,Si,0,0,0,0,0,???
2231,car,0.7,1,1433,320,1513,381,Si,0,0,0,0,0,???
2231,car,0.69,2,1138,318,1196,357,Si,0,0,0,0,0,???
2231,car,0.68,3,1343,315,1442,382,Si,0,0,0,0,0,???
2232,car,0.73,1,1432,319,1513,381,Si,0,0,0,0,0,???
2232,car,0.69,2,1139,318,1196,357,Si,0,0,0,0,0,???
2232,car,0.69,3,1343,316,1437,382,Si,0,0,0,0,0,???
2233,car,0.7,1,1138,314,1195,358,Si,0,0,0,0,0,???
2233,car,0.7,2,1435,321,1513,382,Si,0,0,0,0,0,???
2233,car,0.67,3,1341,316,1440,381,Si,0,0,0,0,0,???
2234,car,0.68,1,1434,321,1513,381,Si,0,0,0,0,0,???
2234,car,0.67,2,1138,317,1195,358,Si,0,0,0,0,0,???
2234,car,0.65,3,1341,315,1431,380,Si,0,0,0,0,0,???
2235,car,0.65,1,1434,322,1513,381,Si,0,0,0,0,0,???
2235,car,0.64,2,1137,318,1195,358,Si,0,0,0,0,0,???
2235,car,0.64,3,1341,317,1428,380,Si,0,0,0,0,0,???
2236,car,0.67,1,1432,322,1512,381,Si,0,0,0,0,0,???
2236,car,0.67,2,1339,316,1428,380,Si,0,0,0,0,0,???
2236,car,0.63,3,1135,318,1196,358,Si,0,0,0,0,0,???
